tc st t t t t t t t t t t t t t stf tcf
l sl ebs ebs sws sws ebs sws sws ebs ebs w ebs ebs ebs slf lf
l sl e w sws w e w esws w e w sw w e slf lf
l sl e ews esws w e ews sw sws e ews sws ews sw slf lf
l sl e w e w sw w esws w sw w sws w esws slf lf
l sl e sws e sws esws ews w ews esws ews sws ews e slf lf
l sl sw w e w sw w sws w e w esws w e slf lf
l sl esws sws e ews esws ews esws ews e ews e ews e slf lf
l sl sw w sw w sw w e w sw w e w e slf lf
l sl esws sws sws sws esws w e ews w ews e w e slf lf
l sl e w esws w e w e w ews w e w sw slf lf
l sl e ews e sws sw ews sw sws sw ews sw sws esws slf lf
bc sbl b b b b b b b b b b b b b sblf bcf
